"filename", "language", "go", "Go Module File", "Go Checksum File", "HTML", "Markdown", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "TypeScript JSX", "Log", "CSS", "XML", "comment", "blank", "total"
"/home/tach/tach/go/go-react-todo/client/src/pages/Auth/HelpCenter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 5, 7, 49
"/home/tach/tach/go/go-react-todo/client/src/pages/Auth/Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 1, 11, 139
"/home/tach/tach/go/go-react-todo/client/src/pages/Auth/Register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 9, 14, 182
"/home/tach/tach/go/go-react-todo/client/src/pages/Auth/Welcome.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 6, 50
"/home/tach/tach/go/go-react-todo/client/src/pages/Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 7, 13, 220
"/home/tach/tach/go/go-react-todo/client/src/pages/Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 10, 69
"/home/tach/tach/go/go-react-todo/client/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/tach/tach/go/go-react-todo/client/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 1, 0, 60
"/home/tach/tach/go/go-react-todo/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"/home/tach/tach/go/go-react-todo/client/tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/tach/tach/go/go-react-todo/client/vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/home/tach/tach/go/go-react-todo/server/db/init.go", "go", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 60
"/home/tach/tach/go/go-react-todo/server/ekilirelay/ekilirelay.go", "go", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 12, 105
"/home/tach/tach/go/go-react-todo/server/go.mod", "Go Module File", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/tach/tach/go/go-react-todo/server/go.sum", "Go Checksum File", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"/home/tach/tach/go/go-react-todo/server/handlers/auth.go", "go", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 33, 223
"/home/tach/tach/go/go-react-todo/server/handlers/default.go", "go", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 19, 92
"/home/tach/tach/go/go-react-todo/server/handlers/projects.go", "go", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 23, 101
"/home/tach/tach/go/go-react-todo/server/main.go", "go", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 49
"/home/tach/tach/go/go-react-todo/server/middlewares/dumpingRequest.go", "go", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 38
"/home/tach/tach/go/go-react-todo/server/middlewares/middleware.go", "go", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"/home/tach/tach/go/go-react-todo/server/utils/errors.go", "go", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 47
"/home/tach/tach/go/go-react-todo/server/utils/jwt.go", "go", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 40
"Total", "-", 551, 8, 71, 13, 9, 7627, 65, 25, 181, 1711, 9, 85, 22, 143, 411, 10931
